fromNode	toNode	weight	direction	fromAltName	toAltName
Cre01.g004350	Cre01.g016150	0.0527145061556224	undirected	HLM1	Cre01.g016150
Cre01.g004350	Cre01.g019600	0.0501960584425205	undirected	HLM1	Cre01.g019600
Cre01.g004350	Cre01.g023350	0.0601448330731805	undirected	HLM1	THO2
Cre01.g004350	Cre01.g023750	0.00754091085359988	undirected	HLM1	Cre01.g023750
Cre01.g004350	Cre01.g031250	0.0571934057829416	undirected	HLM1	Cre01.g031250
Cre01.g004350	Cre01.g033150	0.0440899153619114	undirected	HLM1	Cre01.g033150
Cre01.g004350	Cre01.g035400	0.0284352011657272	undirected	HLM1	Cre01.g035400
Cre01.g004350	Cre01.g040900	0.0148265657188012	undirected	HLM1	Cre01.g040900
Cre01.g004350	Cre01.g041900	0.0333682794788014	undirected	HLM1	Cre01.g041900
Cre01.g004350	Cre01.g043350	0.0471617505050089	undirected	HLM1	CAO1
Cre01.g004350	Cre01.g045100	0.0350635611326957	undirected	HLM1	Cre01.g045100
Cre01.g004350	Cre01.g048600	0.00771893256171318	undirected	HLM1	Cre01.g048600
Cre01.g004350	Cre01.g058521	0.0070928967946176	undirected	HLM1	ALG11
Cre01.g004350	Cre10.g421576	0.0803250831997549	undirected	HLM1	Cre10.g421576
Cre01.g004350	Cre10.g423500	0.0196175546228183	undirected	HLM1	HMO1
Cre01.g004350	Cre10.g424900	0.0817237708816901	undirected	HLM1	PFH1
Cre01.g004350	Cre10.g425550	0.00455426729976009	undirected	HLM1	Cre10.g425550
Cre01.g004350	Cre10.g426550	0.00187332246816205	undirected	HLM1	Cre10.g426550
Cre01.g004350	Cre10.g427250	0.0292754506525894	undirected	HLM1	PRO1
Cre01.g004350	Cre10.g432200	0.000347680212612105	undirected	HLM1	Cre10.g432200
Cre01.g004350	Cre10.g433400	0.00589373339096832	undirected	HLM1	Cre10.g433400
Cre01.g004350	Cre10.g438100	0.00497805083165104	undirected	HLM1	PGP2
Cre01.g004350	Cre10.g438450	0.0203949755252562	undirected	HLM1	LTH1
Cre01.g004350	Cre10.g439000	0.0519753418680163	undirected	HLM1	Cre10.g439000
Cre01.g004350	Cre10.g440150	0.00604162476930331	undirected	HLM1	Cre10.g440150
Cre01.g004350	Cre10.g441350	0.0153060509729363	undirected	HLM1	Cre10.g441350
Cre01.g004350	Cre10.g444000	0.000854847714695861	undirected	HLM1	Cre10.g444000
Cre01.g004350	Cre10.g446150	0.04314080830496	undirected	HLM1	Cre10.g446150
Cre01.g004350	Cre10.g449501	0.0190734491213678	undirected	HLM1	Cre10.g449501
