nodeName	altName	nodeAttr[nodesPresent, ]
Cre01.g004350	HLM1	salmon
Cre01.g016150	Cre01.g016150	salmon
Cre01.g019600	Cre01.g019600	salmon
Cre01.g023350	THO2	salmon
Cre01.g023750	Cre01.g023750	salmon
Cre01.g031250	Cre01.g031250	salmon
Cre01.g033150	Cre01.g033150	salmon
Cre01.g035400	Cre01.g035400	salmon
Cre01.g040900	Cre01.g040900	salmon
Cre01.g041900	Cre01.g041900	salmon
Cre01.g043350	CAO1	salmon
Cre01.g045100	Cre01.g045100	salmon
Cre01.g048600	Cre01.g048600	salmon
Cre01.g058521	ALG11	salmon
Cre10.g421576	Cre10.g421576	salmon
Cre10.g423500	HMO1	salmon
Cre10.g424900	PFH1	salmon
Cre10.g425550	Cre10.g425550	salmon
Cre10.g426550	Cre10.g426550	salmon
Cre10.g427250	PRO1	salmon
Cre10.g432200	Cre10.g432200	salmon
Cre10.g433400	Cre10.g433400	salmon
Cre10.g438100	PGP2	salmon
Cre10.g438450	LTH1	salmon
Cre10.g439000	Cre10.g439000	salmon
Cre10.g440150	Cre10.g440150	salmon
Cre10.g441350	Cre10.g441350	salmon
Cre10.g444000	Cre10.g444000	salmon
Cre10.g446150	Cre10.g446150	salmon
Cre10.g449501	Cre10.g449501	salmon
Cre10.g452650	TIM17	salmon
Cre10.g452700	Cre10.g452700	salmon
Cre10.g455850	MCM7	salmon
Cre10.g456000	FAP191	salmon
Cre10.g458450	GPX5	salmon
Cre10.g459400	Cre10.g459400	salmon
Cre11.g467535	MCP26	salmon
Cre11.g467685	Cre11.g467685	salmon
Cre11.g467778	Cre11.g467778	salmon
Cre11.g467792	Cre11.g467792	salmon
Cre11.g469450	CGL124	salmon
Cre11.g478156	AP1B1	salmon
Cre11.g482450	Cre11.g482450	salmon
Cre12.g483750	Cre12.g483750	salmon
Cre12.g492750	Cre12.g492750	salmon
Cre12.g492700	FAS1	salmon
Cre12.g486250	FAP333	salmon
Cre12.g502050	Cre12.g502050	salmon
Cre12.g499900	VPS29	salmon
Cre12.g498950	Cre12.g498950	salmon
Cre12.g497900	Cre12.g497900	salmon
Cre12.g496650	Cre12.g496650	salmon
Cre12.g514250	HLM17	salmon
Cre12.g515700	Cre12.g515700	salmon
Cre12.g517800	Cre12.g517800	salmon
Cre12.g520400	MRPL4	salmon
Cre12.g521200	RFC1	salmon
Cre12.g532450	Cre12.g532450	salmon
Cre12.g538950	Cre12.g538950	salmon
Cre12.g560150	FAP353	salmon
Cre12.g559950	MFDX	salmon
Cre12.g557750	DGTT1	salmon
Cre12.g554550	Cre12.g554550	salmon
Cre12.g554051	Cre12.g554051	salmon
Cre12.g550400	GRX2	salmon
Cre12.g544112	Cre12.g544112	salmon
Cre12.g540400	RCD1	salmon
Cre13.g565550	RPB11	salmon
Cre13.g570801	Cre13.g570801	salmon
Cre13.g572900	THO3	salmon
Cre13.g575701	Cre13.g575701	salmon
Cre13.g576466	Cre13.g576466	salmon
Cre13.g579150	Cre13.g579150	salmon
Cre13.g579850	Cre13.g579850	salmon
Cre13.g582713	Cre13.g582713	salmon
Cre13.g584901	Cre13.g584901	salmon
Cre13.g587150	HAT5	salmon
Cre13.g587600	Cre13.g587600	salmon
Cre13.g587750	COG6	salmon
Cre13.g589150	Cre13.g589150	salmon
Cre13.g589350	FBB6	salmon
Cre13.g591951	Cre13.g591951	salmon
Cre13.g603700	DII4	salmon
Cre13.g606000	EFG7	salmon
Cre13.g607000	Cre13.g607000	salmon
Cre14.g608850	Cre14.g608850	salmon
Cre14.g615000	Cre14.g615000	salmon
Cre14.g616600	FZL	salmon
Cre14.g617826	Cre14.g617826	salmon
Cre14.g618200	Cre14.g618200	salmon
Cre14.g631900	Cre14.g631900	salmon
Cre15.g636300	CPN2	salmon
Cre15.g638304	NCL30	salmon
Cre16.g650425	Cre16.g650425	salmon
Cre16.g653700	Cre16.g653700	salmon
Cre16.g656600	TRX19	salmon
Cre16.g659350	CYB1	salmon
Cre16.g663050	Cre16.g663050	salmon
Cre16.g663100	ALG7	salmon
Cre16.g665500	Cre16.g665500	salmon
Cre16.g690200	OXA1	salmon
Cre16.g686900	Cre16.g686900	salmon
Cre16.g686050	Cre16.g686050	salmon
Cre16.g684300	YGG3	salmon
Cre16.g678600	Cre16.g678600	salmon
Cre16.g676650	AP1G1	salmon
Cre16.g676050	ARP3	salmon
Cre16.g672400	Cre16.g672400	salmon
Cre16.g682587	Cre16.g682587	salmon
Cre16.g684043	Cre16.g684043	salmon
Cre16.g690431	Cre16.g690431	salmon
